Linux 5.10.216-tegra (ubuntu) 	08/20/2026 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:52 AM  1000    201678    0.00    1.00    0.00    0.00    1.00     2      0.00      0.00  585676   41468   0.13  python3
02:42:52 AM  1000    201679   32.00   71.00    0.00    0.00  103.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:53 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      7.00      0.00  659408   43524   0.14  python3
02:42:53 AM  1000    201679   35.00   54.00    0.00    0.00   89.00     3      4.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:54 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:54 AM  1000    201679   30.00   88.00    0.00    0.00  118.00     2      1.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:55 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:55 AM  1000    201679   27.00   87.00    0.00    0.00  114.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:56 AM  1000    201678    1.00    0.00    0.00    0.00    1.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:56 AM  1000    201679   38.00   86.00    0.00    0.00  124.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:57 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:57 AM  1000    201679   39.00   93.00    0.00    0.00  132.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:58 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:58 AM  1000    201679   39.00   95.00    0.00    0.00  134.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:59 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:42:59 AM  1000    201679   43.00   90.00    0.00    0.00  133.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:00 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:43:00 AM  1000    201679   40.00   91.00    0.00    0.00  131.00     3      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:01 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     3      0.00      0.00  659408   43524   0.14  python3
02:43:01 AM  1000    201679   37.00   98.00    0.00    0.00  135.00     3      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:02 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00  659408   43524   0.14  python3
02:43:02 AM  1000    201679   40.00  104.00    0.00    0.00  144.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:03 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00  659408   43524   0.14  python3
02:43:03 AM  1000    201679   37.00   97.00    0.00    0.00  134.00     3      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:04 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00  659408   43524   0.14  python3
02:43:04 AM  1000    201679   34.00   93.00    0.00    0.00  127.00     3      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:05 AM  1000    201678    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00  659408   43524   0.14  python3
02:43:05 AM  1000    201679   38.00   89.00    0.00    0.00  127.00     2      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:06 AM  1000    201678   22.00   21.00    0.00    0.00   43.00     2  13084.00      0.00  651216   52404   0.17  python3
02:43:06 AM  1000    201679   29.00   83.00    0.00    0.00  112.00     1      5.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:07 AM  1000    201678   41.00   22.00    0.00    0.00   63.00     2  15945.00      0.00  659412   54708   0.17  python3
02:43:07 AM  1000    201679   31.00   72.00    0.00    1.00  103.00     0      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:08 AM  1000    201678   37.00   29.00    0.00    0.00   66.00     3  17395.00      0.00  651216   52660   0.17  python3
02:43:08 AM  1000    201679   32.00   74.00    0.00    0.00  106.00     1      4.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:09 AM  1000    201678   42.00   25.00    0.00    0.00   67.00     3  16881.00      0.00  659412   52660   0.17  python3
02:43:09 AM  1000    201679   31.00   81.00    0.00    0.00  112.00     1      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:10 AM  1000    201678   33.00   28.00    0.00    0.00   61.00     3  15481.00      0.00  655812   55220   0.17  python3
02:43:10 AM  1000    201679   30.00   82.00    0.00    0.00  112.00     1      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:11 AM  1000    201678   37.00   30.00    0.00    0.00   67.00     3  17643.00      0.00  655812   56276   0.18  python3
02:43:11 AM  1000    201679   30.00   73.00    0.00    0.00  103.00     1      0.00      0.00 1571448  115952   0.37  LRC

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:12 AM  1000    201678   38.00   27.00    0.00    0.00   65.00     3  17031.00      0.00  659412   52660   0.17  python3
02:43:12 AM  1000    201679   34.00   72.00    0.00    0.00  106.00     1      0.00      0.00 1571448  115952   0.37  LRC
